customerid,customername,customerrating,totalrides,customerfeedback,location,frequentdropofflocation,age,gender
cust1117,Lakshit Sheth,2.8,34,Fugit occaecati quidem beatae inventore vitae quae.,Thane,Juhu,47,Male
cust1118,Urvi Rama,4.1,65,Ut porro sapiente facilis nemo assumenda exercitationem.,Ghatkopar,Versova,29,Male
cust1119,Madhav Varghese,3.5,47,Repellendus porro consectetur tenetur ex expedita laboriosam.,Vashi,Borivali,33,Female
cust1120,Kashvi Manda,3.9,85,Harum quod qui cumque voluptatibus sed repellendus in.,Thane,Kandivali,42,Male
cust1121,Taran Som,3.1,64,Consectetur vero ab rem sed dicta.,Vashi,Thane,27,Other
cust1122,Advik Date,2.1,53,Saepe voluptate reiciendis deserunt harum cumque sequi.,Malad,Juhu,25,Male
cust1123,Pihu Arora,3.1,9,Rerum illo sequi adipisci molestiae debitis nulla.,Colaba,Kandivali,26,Male
cust1124,Yuvraj  Walia,4.5,26,Enim deleniti reprehenderit.,South Mumbai,Kurla,30,Male
cust1125,Lakshay Vora,1.1,83,Ad dicta pariatur blanditiis voluptatibus.,Kandivali,Ghatkopar,60,Female
cust1126,Rania Yadav,3.1,90,Inventore repellat amet.,Borivali,Andheri,21,Female
cust1127,Amira Barad,1.9,92,Repellat asperiores perferendis adipisci.,South Mumbai,Colaba,31,Other
cust1128,Tanya Chana,3.0,11,Dignissimos culpa velit aspernatur occaecati fugit quis.,Kurla,Vashi,58,Male
cust1129,Adah Sant,2.4,96,Iusto ullam corrupti tenetur.,Sion,Ghatkopar,41,Other
cust1130,Ranbir Aurora,1.2,79,Vero fuga sapiente vel a a.,Andheri,Thane,20,Other
cust1131,Pari Raj,1.3,39,Eum id assumenda aliquam.,South Mumbai,Bandra,51,Male
cust1132,Dhruv Ravel,1.4,30,Magnam quos iusto nihil.,Thane,Ghatkopar,30,Male
cust1133,Veer Malhotra,3.1,32,Quos velit facere ex adipisci quas autem.,Borivali,Malad,29,Other
cust1134,Vanya Chaudhari,4.0,54,Nisi consectetur et odit quisquam repellat corrupti.,Versova,South Mumbai,58,Other
cust1135,Mohanlal Lad,2.4,59,Laudantium ipsam illo molestias modi quia.,Versova,Malad,45,Male
cust1136,Dishani Ahluwalia,1.7,24,Accusamus culpa adipisci corrupti expedita assumenda ducimus.,Thane,Ghatkopar,50,Female
cust1137,Yasmin Khosla,3.6,69,Officiis asperiores voluptatum recusandae.,Borivali,Kurla,40,Female
cust1138,Raghav Dey,3.2,42,Ullam praesentium illum voluptatem eaque culpa consequuntur.,Kandivali,Juhu,44,Other
cust1139,Vaibhav Taneja,2.7,93,Laboriosam fuga quidem aperiam atque non ad.,Juhu,Borivali,33,Other
cust1140,Adah Sama,3.2,49,Fuga aperiam nemo possimus voluptatibus cum totam.,Vashi,Thane,65,Female
cust1141,Hazel Chandra,2.4,58,Dignissimos id a.,Kurla,Ghatkopar,18,Other
cust1142,Adira Rao,1.1,37,A perferendis rerum unde temporibus.,Borivali,Colaba,51,Male
cust1143,Nishith Bhat,5.0,39,Quae aspernatur nostrum labore fugit.,Colaba,Andheri,32,Male
cust1144,Ahana  Wali,4.4,3,Quibusdam velit minus facilis.,Vashi,Kandivali,62,Female
cust1145,Dhanush Contractor,4.7,66,Soluta ex facilis adipisci ducimus odio ex.,Thane,Borivali,54,Male
cust1146,Ojas Bajwa,1.4,59,Inventore veritatis possimus provident.,Juhu,Dadar,26,Female
cust1147,Advika Iyer,2.5,75,Hic sed amet dignissimos laborum rem.,Bandra,Bandra,34,Female
cust1148,Yakshit Choudhury,1.4,52,Optio ab ducimus in quaerat sunt ab.,Borivali,Sion,31,Other
cust1149,Adira Bhasin,1.3,42,Libero esse sapiente aliquam adipisci id.,Vashi,Kurla,29,Female
cust1150,Shray Saran,4.3,89,Laudantium tempora sunt ipsam beatae nulla consequuntur.,Versova,Borivali,24,Other
cust1151,Tushar Chakraborty,3.6,5,Laborum nostrum praesentium sequi.,Versova,Vashi,54,Female
cust1152,Charvi Singh,1.3,8,Ad nam reiciendis libero ipsam.,Sion,Vashi,39,Female
cust1153,Pari Kari,4.5,56,Blanditiis et rerum officia.,Ghatkopar,Sion,25,Male
cust1154,Taimur Saini,4.0,78,Minus distinctio voluptate veritatis occaecati repudiandae.,Sion,Colaba,58,Other
cust1155,Amani Joshi,2.5,40,Nihil culpa quaerat occaecati assumenda odit doloribus fugiat.,Thane,Colaba,38,Other
cust1156,Diya Barman,3.3,42,Aliquam rem delectus voluptates dolor nulla corrupti.,Thane,Versova,32,Male
cust1157,Suhana Dugar,1.2,94,Eligendi est porro.,Ghatkopar,Kurla,56,Other
cust1158,Vihaan Majumdar,3.0,29,Eligendi accusantium commodi incidunt vel a.,Ghatkopar,Andheri,43,Male
cust1159,Lavanya Garde,1.5,11,Fugit corporis laboriosam eum dicta exercitationem et illo.,Kurla,Borivali,65,Male
cust1160,Anay Butala,3.2,34,Recusandae rerum voluptatibus necessitatibus.,South Mumbai,Ghatkopar,50,Female
cust1161,Lakshay Shah,4.1,17,Facilis aliquid alias ad nesciunt.,Vashi,Dadar,48,Other
cust1162,Indranil Sama,1.8,51,Repellat numquam distinctio veritatis maiores dignissimos consequatur.,Malad,Borivali,30,Other
cust1163,Himmat Issac,3.5,95,Quidem voluptates ut esse explicabo.,Thane,Bandra,33,Male
cust1164,Vaibhav Vohra,2.1,56,Tempore molestiae ad dolores illum cumque ipsa quam.,Juhu,Malad,54,Male
cust1165,Ranbir Doctor,1.5,53,A eius ullam.,Ghatkopar,Juhu,40,Male
cust1166,Ahana  Chaudhary,2.3,77,Itaque recusandae ex cum sed magnam iure.,Malad,Colaba,37,Male
cust1167,Riaan Bhardwaj,5.0,79,Ea quod porro alias inventore assumenda nulla.,Kandivali,Vashi,46,Other
cust1168,Samarth Luthra,1.6,6,Pariatur quisquam ducimus placeat illo velit repudiandae.,Sion,Kandivali,32,Male
cust1169,Nakul Vora,3.7,20,Aperiam excepturi velit recusandae animi.,Vashi,Versova,23,Male
cust1170,Kabir Sabharwal,4.0,32,Ullam nostrum iusto accusantium est.,Borivali,Sion,27,Female
cust1171,Mohanlal Dani,1.1,89,Veritatis in ullam repudiandae perspiciatis.,Vashi,South Mumbai,37,Female
cust1172,Gokul Garde,2.9,43,Porro ipsa neque odio.,Bandra,Versova,52,Male
cust1173,Dishani Bakshi,1.8,67,Quis atque officia delectus.,Vashi,Andheri,53,Female
cust1174,Prerak Kannan,3.5,19,Nihil suscipit magnam corrupti magnam placeat deserunt ratione.,Versova,Versova,60,Male
cust1175,Mishti Kar,2.5,85,Blanditiis voluptatum optio ea repudiandae repudiandae neque doloremque.,Thane,Colaba,34,Male
cust1176,Ivana Bava,1.2,26,Fugit natus sint quas sit.,Vashi,Versova,57,Female
cust1177,Saanvi Dhar,1.2,84,Minus numquam officiis quasi at.,Colaba,South Mumbai,42,Other
cust1178,Darshit Lad,2.1,85,Optio quaerat eveniet minus laboriosam repellendus minus.,Juhu,Kandivali,24,Male
cust1179,Tiya Soman,2.2,84,Consequuntur consequuntur esse consectetur iusto voluptatum.,Ghatkopar,Bandra,42,Other
cust1180,Ahana  Sarma,4.9,13,Temporibus iure quod mollitia consequuntur.,Sion,Juhu,49,Other
cust1181,Tushar Rajagopalan,3.1,24,Facere sunt iure esse totam.,Bandra,Thane,47,Other
cust1182,Stuvan Yogi,4.7,3,Nihil pariatur facere.,Colaba,Bandra,51,Female
cust1183,Parinaaz Mangal,2.3,51,Ipsum voluptatum vel illum.,Versova,Dadar,19,Female
cust1184,Navya Guha,3.7,46,Neque illo error.,Malad,Andheri,33,Other
cust1185,Taimur Kant,2.1,8,Minus nemo distinctio fuga.,Malad,Andheri,42,Male
cust1186,Ritvik Thakur,4.8,36,Corrupti non illum voluptates assumenda nostrum.,Bandra,Dadar,39,Female
cust1187,Zaina Bansal,3.6,12,Ducimus odio repellendus tempore odit non.,Versova,Ghatkopar,51,Other
cust1188,Miraya Devan,3.4,81,Nobis in ipsa quo.,Malad,Bandra,44,Male
cust1189,Kanav Kunda,3.3,55,Explicabo delectus libero animi tempora quia.,Andheri,Sion,56,Female
cust1190,Dhruv Sha,2.8,17,Corrupti nisi consectetur architecto fugiat atque eius.,Bandra,Malad,26,Other
cust1191,Sara Dhillon,3.2,26,Tenetur est atque esse non praesentium.,Kandivali,Dadar,37,Other
cust1192,Aaina Aggarwal,3.8,68,Suscipit magni minus sed minima libero praesentium.,Sion,Dadar,45,Male
cust1193,Vedika Bawa,3.6,73,Optio repellendus asperiores odit repellendus fugit optio.,Sion,Dadar,38,Male
cust1194,Mishti Sen,3.2,93,Facere error maiores ut culpa quo voluptatem voluptatum.,South Mumbai,Dadar,38,Male
cust1195,Raghav Taneja,3.9,98,Ut corporis atque quibusdam ab sequi.,Juhu,Sion,44,Female
cust1196,Baiju Sibal,2.2,96,Dicta suscipit quasi autem mollitia.,Sion,Kandivali,58,Other
cust1197,Vidur Malhotra,2.1,100,Molestias dolorem eum quas dolores excepturi aliquid inventore.,Bandra,South Mumbai,26,Male
cust1198,Indrajit Sampath,1.1,79,Qui laudantium officiis quo pariatur veritatis dicta.,Borivali,Andheri,56,Other
cust1199,Alia Suri,3.4,77,Nostrum perspiciatis expedita.,Bandra,Bandra,61,Male
cust1200,Adira Sampath,2.4,89,Commodi doloremque asperiores.,Vashi,Kurla,26,Other
cust1201,Heer Deep,4.4,61,Porro optio esse ea repudiandae.,Versova,Malad,41,Male
cust1202,Jivika Samra,4.4,63,Maiores in est fugiat quo illo.,Kurla,Dadar,28,Male
cust1203,Rania Sama,1.9,53,Quibusdam veniam dolorem enim laborum expedita.,Vashi,Colaba,35,Female
cust1204,Divij Divan,1.9,86,Nam at quisquam quis neque occaecati tenetur.,Bandra,Vashi,31,Male
cust1205,Jayant Ahluwalia,1.7,57,Neque quam veniam dolorem earum explicabo odio optio.,Kandivali,Borivali,49,Other
cust1206,Jhanvi Swaminathan,2.3,59,At assumenda cupiditate provident illum nobis.,Sion,Bandra,45,Female
cust1207,Emir Agrawal,4.1,78,Tempore ab similique odio veniam.,Versova,Kandivali,42,Other
cust1208,Kiaan Chaudhary,2.3,79,Eum blanditiis hic.,Versova,Borivali,56,Other
cust1209,Uthkarsh Gill,3.1,91,Distinctio consequatur error occaecati id maiores.,Vashi,Colaba,51,Male
cust1210,Uthkarsh Kannan,2.8,6,Molestiae ipsum assumenda iure dicta.,Sion,Bandra,51,Other
cust1211,Parinaaz Sachdeva,2.6,95,Sit hic esse repudiandae repudiandae eaque.,Colaba,Thane,42,Other
cust1212,Anvi Saran,4.1,7,Sed vel dolorem optio ab aut.,Bandra,Andheri,46,Female
cust1213,Vedika Sarin,4.5,100,Nemo nobis quas corporis sequi natus optio.,Kandivali,Andheri,47,Male
cust1214,Renee Wadhwa,2.7,79,Cumque ea blanditiis occaecati saepe.,Sion,Colaba,62,Other
cust1215,Armaan Chaudhuri,4.6,60,Non sed minima.,Kandivali,Malad,46,Male
cust1216,Ahana  Arya,3.9,15,Ut esse saepe rerum placeat.,Dadar,Vashi,55,Other
cust1217,Pari Tara,3.2,51,Repellat fuga dolores.,Ghatkopar,Juhu,46,Male
cust1218,Samaira Hegde,1.7,76,Autem consectetur dolore reprehenderit optio asperiores.,Sion,Versova,30,Female
cust1219,Lakshay Joshi,1.4,42,Architecto corporis soluta dicta minima fuga.,Versova,Malad,63,Male
cust1220,Hrishita Sant,3.9,16,Aperiam expedita nam accusantium.,South Mumbai,South Mumbai,63,Female
cust1221,Saira Anand,3.5,11,Eos et iure adipisci sed.,Thane,Versova,42,Other
cust1222,Ryan Gopal,4.2,66,Eum magni dolor quia neque placeat.,Borivali,Dadar,42,Other
cust1223,Manikya Swaminathan,2.5,99,Officiis debitis natus quae.,Dadar,Sion,39,Other
cust1224,Farhan Aurora,4.5,20,Consectetur expedita illo nulla sapiente.,Dadar,Kandivali,27,Male
cust1225,Onkar Venkatesh,4.1,7,Possimus minus maxime quaerat aliquam esse fuga.,Ghatkopar,Andheri,37,Other
cust1226,Hrishita Vig,4.1,58,Iure aperiam veniam quod laudantium laborum vero.,Andheri,Malad,29,Male
cust1227,Samar Deep,4.6,26,Amet totam amet non.,Colaba,Borivali,34,Male
cust1228,Advik Chopra,2.8,64,Quia quisquam architecto dolor delectus.,Thane,Vashi,18,Other
cust1229,Kiaan Kalita,4.5,31,Totam eveniet dolores minus nostrum maiores iusto.,Bandra,Borivali,60,Female
cust1230,Gatik Bajaj,2.8,57,Necessitatibus quisquam sequi sed reiciendis minus.,South Mumbai,Borivali,56,Male
cust1231,Ranbir Ganguly,2.0,71,Itaque voluptatum ipsum id tempora.,Andheri,Borivali,58,Other
cust1232,Ritvik Sarna,4.3,27,Iste tempore minima dolor dignissimos omnis.,Colaba,Dadar,27,Male
cust1233,Vanya Jaggi,3.6,5,Molestias animi neque provident ab doloribus sapiente.,Dadar,Kandivali,20,Other
cust1234,Indrans Das,3.3,78,Illum dolor voluptatum blanditiis quo distinctio.,Andheri,Juhu,23,Male
cust1235,Kiaan Mangat,1.4,23,Tenetur quod accusantium ea et officia temporibus soluta.,Dadar,Malad,36,Other
cust1236,Adah Thakkar,3.6,90,Repellat illo ut veniam inventore quidem vero omnis.,Borivali,Borivali,53,Male
cust1237,Divyansh Sekhon,4.9,96,Beatae reprehenderit incidunt minima veniam.,Borivali,Juhu,20,Male
cust1238,Baiju Saran,4.1,42,Est voluptatem omnis facilis consequuntur provident.,Juhu,Sion,42,Male
cust1239,Shlok Bobal,4.0,71,Odit reprehenderit quaerat dolor alias fugiat in.,South Mumbai,Andheri,48,Male
cust1240,Dhanuk Sastry,1.5,36,Consectetur ipsum quis beatae.,Juhu,Thane,44,Other
cust1241,Krish Dara,1.8,27,Labore cupiditate facilis nulla ipsum veniam quasi.,Borivali,Colaba,24,Other
cust1242,Anika Chacko,3.9,81,Dicta tempore alias distinctio ab saepe laboriosam architecto.,Thane,South Mumbai,48,Other
cust1243,Taran Chahal,3.8,91,Dolore tempora blanditiis nulla possimus soluta dolorum.,Andheri,Ghatkopar,56,Female
cust1244,Nehmat Char,2.0,74,Ut dolorem culpa.,Borivali,Juhu,26,Other
cust1245,Armaan Dhingra,3.3,67,Quis nulla sint mollitia eum.,Versova,Malad,49,Female
cust1246,Hiran Barad,4.2,79,Facilis earum laudantium fuga nostrum cum.,Bandra,Versova,36,Male
cust1247,Trisha Suresh,1.0,4,Eum necessitatibus eveniet quis beatae.,Kurla,Malad,25,Other
cust1248,Tara Ramanathan,4.4,79,Soluta fuga laudantium exercitationem soluta ducimus.,Ghatkopar,Ghatkopar,20,Female
cust1249,Divij Bhakta,2.4,82,Quae unde neque atque earum.,Bandra,Colaba,58,Male
cust1250,Damini Bobal,3.8,33,Blanditiis necessitatibus officiis dicta.,Vashi,South Mumbai,37,Female
cust1251,Urvi Agrawal,3.0,42,Totam corporis cupiditate enim provident saepe repellat.,Vashi,Colaba,25,Other
cust1252,Pari Sangha,2.3,51,Accusamus quasi eaque eligendi odio voluptate placeat.,Versova,Borivali,57,Male
cust1253,Alia Sandhu,4.3,25,Autem laboriosam nesciunt rerum consequuntur.,Juhu,Kandivali,39,Other
cust1254,Amira Wason,2.9,61,Nisi odit nemo placeat.,Vashi,Colaba,59,Male
cust1255,Saksham Chaudhary,2.9,81,A aliquam tempore quasi veniam tenetur temporibus.,Kurla,Sion,52,Female
cust1256,Aarush Lad,2.8,53,Assumenda possimus incidunt doloribus dolorum veniam.,Sion,Versova,21,Other
cust1257,Miraya Brar,2.2,93,Magni hic nesciunt laboriosam veniam.,Malad,Juhu,53,Other
cust1258,Shlok Tiwari,1.1,74,Id minus porro voluptas fuga vero eaque.,Malad,Juhu,40,Male
cust1259,Lakshay Subramaniam,4.9,36,Inventore possimus dicta laborum incidunt similique.,Kandivali,Colaba,39,Female
cust1260,Zara Sabharwal,3.5,22,Facilis quibusdam saepe reiciendis sint voluptatibus molestias sunt.,Borivali,Borivali,42,Male
cust1261,Samar Bhatnagar,3.4,97,Distinctio ducimus doloremque consequuntur eum velit.,Andheri,Versova,38,Other
cust1262,Madhup Boase,1.1,53,Nostrum aut quaerat explicabo rerum.,South Mumbai,Kurla,33,Female
cust1263,Faiyaz Baria,2.8,39,Nulla quas consequuntur qui ipsa sed.,Bandra,Thane,37,Male
cust1264,Samiha Sehgal,1.4,5,Iste aliquid mollitia neque magni.,Vashi,Bandra,23,Female
cust1265,Biju Varughese,3.0,62,Tenetur vero quo nisi molestiae unde at.,Sion,Thane,27,Male
cust1266,Aarna Sharaf,2.4,62,Eius commodi beatae sequi deserunt dicta velit.,Versova,Kandivali,51,Female
cust1267,Purab Rau,4.1,19,Repellendus sit minus consequatur molestias.,Vashi,Kandivali,24,Other
cust1268,Shayak Hayre,3.7,17,Animi provident eius ea error.,Bandra,Versova,20,Female
cust1269,Rohan Jani,2.6,67,Reprehenderit eaque delectus fuga ratione culpa praesentium unde.,South Mumbai,Colaba,37,Male
cust1270,Madhup Ben,3.7,77,Doloremque ad odit quia explicabo sed.,Kandivali,South Mumbai,39,Female
cust1271,Shlok Bir,4.6,14,Iste occaecati enim soluta.,Thane,Vashi,60,Other
cust1272,Jayesh Gopal,2.2,74,Voluptas aut earum accusamus laboriosam dolores deleniti.,Vashi,Andheri,58,Male
cust1273,Riya Dutt,2.3,25,Quidem repellendus animi magnam quibusdam delectus.,Andheri,Andheri,52,Female
cust1274,Kiara Sama,4.1,86,Maxime repudiandae repellat dolores dolorem similique.,South Mumbai,Andheri,27,Male
cust1275,Lakshay Singhal,2.1,2,Officiis laudantium dignissimos voluptates.,Borivali,Thane,50,Male
cust1276,Anay Chakrabarti,1.8,45,Magni eveniet sint ipsa beatae dignissimos perferendis.,Thane,Juhu,35,Male
cust1277,Nirvi Barad,4.8,37,Veritatis commodi earum aut aliquam atque vero expedita.,Borivali,Bandra,28,Male
cust1278,Bhamini Korpal,2.2,44,Praesentium reprehenderit perspiciatis id numquam.,Thane,Kurla,21,Male
cust1279,Divij Buch,1.1,87,Ducimus explicabo inventore et libero pariatur odio.,Colaba,South Mumbai,42,Male
cust1280,Ranbir Kar,1.3,51,Nobis suscipit veritatis saepe est laudantium.,Dadar,Versova,56,Other
cust1281,Saksham Devi,3.5,89,Nostrum sint officia quos atque maxime labore.,Versova,Kurla,57,Female
cust1282,Pihu Anne,2.2,26,Illum sunt aspernatur eligendi assumenda optio in.,Versova,Vashi,60,Other
cust1283,Akarsh Samra,1.3,97,Quae cumque rem mollitia minus sequi.,Vashi,Kurla,54,Male
cust1284,Shanaya Karan,1.4,90,Consequatur aliquam temporibus quae sunt officiis natus.,Kurla,South Mumbai,47,Female
cust1285,Parinaaz Walia,3.7,91,Ipsam quia odit facere magni rerum.,Vashi,Kurla,48,Male
cust1286,Gokul Bhavsar,4.8,19,Illo aliquid dolor distinctio quo occaecati.,Kandivali,Sion,57,Female
cust1287,Vritika Yogi,4.7,51,Quam corrupti minus accusantium ipsa perferendis cupiditate.,Dadar,Versova,60,Female
cust1288,Elakshi Ramachandran,4.2,42,Repudiandae non commodi numquam.,Kurla,Kurla,19,Male
cust1289,Hazel Varma,2.9,45,Illo minima labore inventore beatae iusto.,Kurla,Kurla,28,Female
cust1290,Anahi Mann,4.1,78,Temporibus laudantium repudiandae ratione.,Borivali,Dadar,50,Male
cust1291,Urvi Gokhale,2.6,92,Odit laborum iste numquam.,Vashi,South Mumbai,38,Other
cust1292,Shanaya Wali,3.6,39,Atque culpa consectetur nesciunt quisquam laboriosam.,Thane,Kurla,43,Other
cust1293,Advika Jaggi,2.7,80,Pariatur impedit rem ab sint.,Bandra,Thane,28,Female
cust1294,Aradhya Vora,2.5,44,Odio sequi provident.,Bandra,Kandivali,62,Other
cust1295,Farhan Ghose,2.7,56,Vel magni tenetur dignissimos sint quae at.,Borivali,Vashi,39,Other
cust1296,Miraya Datta,3.8,23,Consequatur tenetur saepe ea temporibus necessitatibus.,Malad,Malad,22,Other
cust1297,Kanav Rege,4.7,74,Assumenda ratione temporibus deleniti.,Kandivali,Kurla,25,Other
cust1298,Aarav Comar,3.4,42,Suscipit vel iusto sed placeat aperiam.,Thane,South Mumbai,46,Male
cust1299,Jayesh Ramachandran,2.2,52,Necessitatibus quo exercitationem maiores dolorum.,South Mumbai,Borivali,24,Other
cust1300,Aniruddh Singhal,4.3,99,Commodi adipisci tenetur similique et eum reprehenderit.,Kandivali,Ghatkopar,38,Female
cust1301,Riya Aggarwal,3.6,8,Enim distinctio ducimus deleniti.,South Mumbai,Bandra,26,Other
cust1302,Kavya Acharya,4.6,82,Quaerat repudiandae blanditiis doloribus beatae.,Vashi,Colaba,27,Other
cust1303,Vihaan Rama,1.6,69,Eum tenetur hic harum.,Andheri,Ghatkopar,57,Other
cust1304,Hrishita Lanka,2.8,27,Id laboriosam tempora neque praesentium nesciunt.,Malad,Sion,38,Female
cust1305,Advik Kadakia,3.3,87,Praesentium porro eius soluta quidem optio eveniet.,Andheri,Sion,45,Other
cust1306,Samar Kanda,4.9,45,Laudantium nisi ratione quisquam.,South Mumbai,Borivali,18,Other
cust1307,Romil Kulkarni,4.9,52,Modi laborum architecto repudiandae incidunt.,Kandivali,Dadar,36,Male
cust1308,Jayesh Randhawa,2.5,71,Consequuntur nobis officiis ipsam.,Colaba,Colaba,63,Other
cust1309,Vardaniya Srinivasan,4.3,46,Repudiandae dolorem fugiat quos natus.,South Mumbai,Kandivali,36,Male
cust1310,Anahi Sethi,1.9,90,Quis quod voluptas occaecati ex architecto a.,Borivali,Ghatkopar,58,Female
cust1311,Amira Sur,3.8,52,Vitae quaerat quos officia provident cum.,Ghatkopar,Ghatkopar,52,Male
cust1312,Anya Deo,3.6,61,Nihil cupiditate esse fuga ipsa aut.,Dadar,Bandra,53,Female
cust1313,Hunar Brahmbhatt,4.4,47,Mollitia vel accusamus consequatur nesciunt incidunt blanditiis.,Kandivali,Ghatkopar,27,Female
cust1314,Rasha Kala,5.0,86,Rem aliquam ratione eaque alias atque.,Dadar,Dadar,18,Male
cust1315,Kashvi Jhaveri,3.6,19,Aut quam veritatis dolorum.,Versova,Sion,49,Other
cust1316,Sumer Garde,2.7,18,Eum aut error natus.,South Mumbai,Dadar,59,Female
cust1317,Manjari Mani,4.4,90,Harum veritatis neque rerum corrupti ratione accusantium.,Borivali,Sion,45,Other
cust1318,Anahi Lanka,1.7,66,Officia sunt vero.,Ghatkopar,Thane,46,Female
cust1319,Kavya Raman,2.4,24,Cupiditate magni perferendis provident rerum odit.,Ghatkopar,Borivali,18,Other
cust1320,Jayant Sawhney,3.0,94,Quo ab maxime.,Bandra,Versova,50,Female
cust1321,Biju Majumdar,2.6,70,Nihil asperiores praesentium eveniet libero sed.,Borivali,Juhu,20,Male
cust1322,Badal Mandal,3.3,91,Adipisci delectus voluptas ipsam.,Juhu,South Mumbai,55,Female
cust1323,Alia Chander,4.8,11,Laborum enim nesciunt facilis amet velit iste.,Dadar,Versova,64,Other
cust1324,Lakshit Sahota,4.9,97,Ut eum accusamus omnis molestiae.,Vashi,Andheri,47,Other
cust1325,Faiyaz Sampath,1.3,79,Rem recusandae aut possimus.,South Mumbai,Bandra,48,Other
cust1326,Sahil Swaminathan,4.0,86,Eius ipsum illo saepe veniam illum.,South Mumbai,Malad,58,Other
cust1327,Misha Bath,4.2,40,Quis consectetur molestiae hic quae earum sint.,Borivali,Colaba,39,Other
cust1328,Dhruv Bose,4.1,61,Aperiam quae velit amet numquam beatae.,Kurla,Thane,48,Other
cust1329,Farhan Raja,3.9,54,Velit dolor tenetur natus.,Juhu,Vashi,36,Female
cust1330,Arnav Date,1.7,89,Aliquid voluptatum voluptates sit ipsam dicta sint odit.,Sion,Borivali,65,Female
cust1331,Shlok Mane,3.9,73,Consectetur eligendi odio fugit dolor autem impedit nihil.,Andheri,Colaba,58,Female
cust1332,Vivaan Wadhwa,3.3,74,Sequi in at quisquam eos a quae.,Colaba,Malad,36,Other
cust1333,Ishita Mandal,3.5,37,Autem accusantium inventore adipisci optio non minus.,Kurla,South Mumbai,26,Other
cust1334,Heer Konda,1.3,36,Recusandae ea velit earum.,Andheri,Dadar,57,Female
cust1335,Kaira Wadhwa,2.1,33,Harum dolores facilis autem commodi vitae commodi.,Colaba,Versova,25,Other
cust1336,Parinaaz Kalla,1.7,76,Nemo voluptate maiores tempore in cum.,Versova,Dadar,60,Female
cust1337,Lakshit Chaudry,2.5,23,Cumque dolor explicabo dolores sunt deleniti.,Andheri,Vashi,62,Male
cust1338,Lavanya Halder,2.9,68,Ipsum ut dicta omnis iure.,Kandivali,Colaba,39,Male
cust1339,Manjari Tella,4.9,77,Eius praesentium repellat ad commodi exercitationem.,Sion,Kandivali,27,Female
cust1340,Keya Wable,4.0,53,Earum aliquid reprehenderit esse.,Vashi,Ghatkopar,33,Other
cust1341,Bhavin Sachdeva,2.8,82,Voluptas soluta labore sed deserunt voluptatem.,Dadar,Bandra,54,Other
cust1342,Shalv Bhakta,4.4,7,Minus sit sapiente sint.,Malad,Andheri,25,Male
cust1343,Lakshit Samra,1.7,52,Reprehenderit pariatur vero quod vel cumque eius.,Kurla,Andheri,48,Other
cust1344,Dhanuk Talwar,4.8,69,Aperiam neque architecto unde nulla quae reiciendis.,Bandra,Ghatkopar,61,Other
cust1345,Romil Agarwal,2.6,34,Illo ratione quam porro voluptatibus ullam fugiat.,Dadar,Thane,45,Male
cust1346,Raghav Virk,2.2,58,Quam aspernatur laborum assumenda inventore.,Ghatkopar,Malad,38,Other
cust1347,Hunar Borah,3.7,6,Ea numquam temporibus similique est.,South Mumbai,Sion,52,Other
cust1348,Samiha Mand,2.4,56,Possimus ratione amet corporis ullam autem.,Borivali,Sion,59,Female
cust1349,Aarav Kaul,2.3,35,Officia pariatur debitis.,Vashi,South Mumbai,34,Other
cust1350,Kiara Tak,3.3,60,Nulla enim soluta at porro accusantium distinctio.,Vashi,Malad,65,Male
cust1351,Adah Golla,3.9,76,Sapiente excepturi culpa error illo consequatur.,Vashi,Bandra,51,Female
cust1352,Kaira Grewal,3.7,24,Quisquam architecto odit nemo necessitatibus alias assumenda.,Juhu,Thane,18,Other
cust1353,Mamooty Ray,1.0,9,Reprehenderit sed omnis maxime neque odio sit.,Colaba,Ghatkopar,24,Other
cust1354,Zeeshan Bahl,1.4,58,Magnam quaerat reiciendis ratione necessitatibus tenetur.,Juhu,Bandra,64,Female
cust1355,Rati Chhabra,2.0,5,Hic exercitationem ipsam.,Colaba,Borivali,23,Male
cust1356,Suhana Gala,4.8,85,Iusto cum reiciendis doloribus et alias ratione.,Sion,Kandivali,31,Other
cust1357,Taran Gade,3.6,91,Facere minima dolores rem ratione.,South Mumbai,South Mumbai,56,Male
cust1358,Anaya Sengupta,2.5,98,Aliquam voluptatum veritatis reiciendis.,Sion,Malad,54,Male
cust1359,Himmat Bail,4.6,90,Harum reiciendis corrupti.,Dadar,Andheri,36,Female
cust1360,Jayesh Korpal,3.6,10,Vero quos atque sint pariatur architecto.,Malad,Kurla,35,Female
cust1361,Chirag Gade,3.8,86,Eaque distinctio odit ab sapiente.,Vashi,Vashi,38,Female
cust1362,Shayak Sura,1.6,10,Omnis veritatis corrupti nam.,Andheri,Vashi,21,Female
cust1363,Ehsaan Roy,2.6,8,Eaque fugit veniam voluptatem.,Andheri,Kandivali,34,Male
cust1364,Rasha Sarma,2.8,63,Optio suscipit minus sed tempora.,Sion,Bandra,57,Female
cust1365,Purab Bhattacharyya,1.7,63,Tenetur vero quae sequi.,South Mumbai,Dadar,52,Female
cust1366,Ranbir Bains,1.9,83,Minima sint suscipit nulla.,South Mumbai,Sion,46,Other
cust1367,Eva Sandal,2.0,5,Impedit reprehenderit sit possimus.,South Mumbai,South Mumbai,54,Other
